size,type,time,freq_before_hz,freq_after_hz,level,peak_memory_mb
45,par,0.008361,2094950664,2094950573,10,10.8125
45,built,0.000004,2094950512,2094950897,0,1.69531
600,seq,0.000024,2094950547,2094951015,0,1.85938
600,par,0.000376,2094950646,2094951142,1,2.03125
600,par,0.000577,2094950366,2094950949,2,2.80469
600,par,0.002081,2094950574,2094950069,3,4.89062
600,par,0.003442,2094950579,2094950183,4,10.7266
600,par,0.006791,2094950745,2094950768,5,16.8086
600,par,0.009246,2094950579,2094950816,6,24.7344
600,par,0.017310,2094950820,2094950812,7,24.832
600,par,0.026198,2094950545,2094950638,8,38.8281
600,par,0.034605,2094950539,2094950679,9,50.8398
600,par,0.039537,2094950881,2094950617,10,33.5
600,built,0.000051,2094950920,2094950946,0,1.80859
600,seq,0.000024,2094950617,2094950891,0,1.82031
600,par,0.000361,2094950605,2094950823,1,1.83984
600,par,0.001261,2094950687,2094950318,2,2.87109
600,par,0.001888,2094950835,2094950807,3,4.74609
600,par,0.004192,2094950538,2094950569,4,8.8125
600,par,0.008309,2094950538,2094949948,5,18.7852
600,par,0.008278,2094950444,2094950795,6,24.8086
600,par,0.012799,2094950649,2094950599,7,32.8047
600,par,0.016629,2094950770,2094950680,8,42.7227
600,par,0.023748,2094950727,2094950703,9,42.8828
600,par,0.042543,2094950853,2094950152,10,43.457
600,built,0.000052,2094950639,2094951042,0,1.80078
600,seq,0.000027,2094950526,2094950927,0,1.78516
600,par,0.000369,2094950560,2094950678,1,1.83594
600,par,0.000565,2094950642,2094950914,2,1.84766
600,par,0.002069,2094950814,2094950573,3,2.87891
600,par,0.003517,2094950807,2094950479,4,8.87109
600,par,0.006947,2094950847,2094950771,5,16.8398
600,par,0.011819,2094950823,2094950723,6,22.7656
600,par,0.022059,2094950807,2094950627,7,26.8516
600,par,0.017609,2094948538,2094950844,8,22.8516
600,par,0.022651,2094949492,2094949515,9,66.832
600,par,0.044863,2094949866,2094949267,10,30.875
600,built,0.000049,2094950612,2094950855,0,1.80078
600,seq,0.000027,2094950230,2094950886,0,1.79297
600,par,0.000372,2094950795,2094950915,1,1.94922
600,par,0.001157,2094950687,2094950895,2,2.875
600,par,0.001973,2094950812,2094950623,3,4.81641
600,par,0.003414,2094950497,2094950905,4,8.85547
600,par,0.007504,2094950820,2094950564,5,12.6133
600,par,0.008772,2094950703,2094950561,6,22.7266
600,par,0.011892,2094950619,2094950775,7,22.8711
600,par,0.021271,2094950459,2094950740,8,36.7578
600,par,0.025748,2094950279,2094950701,9,37.1289
600,par,0.047396,2094950529,2094950702,10,35.6172
600,built,0.000074,2094947614,2094950898,0,1.75781
600,seq,0.000024,2094950732,2094951061,0,1.79688
600,par,0.000386,2094950593,2094950818,1,1.94922
600,par,0.001164,2094950775,2094950898,2,2.74609
600,par,0.001373,2094950648,2094950775,3,4.74609
600,par,0.003773,2094950519,2094950655,4,8.87109
600,par,0.006026,2094950637,2094950724,5,16.7461
600,par,0.006959,2094950341,2094950695,6,18.7891
600,par,0.017207,2094950686,2094950677,7,24.7227
600,par,0.027341,2094950512,2094950727,8,38.8516
600,par,0.026962,2094950161,2094950595,9,29.3984
600,par,0.045292,2094950594,2094950694,10,47.2734
600,built,0.000048,2094950665,2094951038,0,1.69922
75,seq,0.000002,2094950318,2094951064,0,1.85938
75,par,0.000361,2094950458,2094950880,1,1.95312
75,par,0.001208,2094950783,2094947388,2,2.74219
75,par,0.001441,2094950805,2094950637,3,4.85156
75,par,0.003541,2094950422,2094950598,4,8.84375
75,par,0.003889,2094950674,2094950372,5,12.8359
75,par,0.005793,2094950734,2094950731,6,12.875
75,par,0.007425,2094950465,2094950761,7,10.9219
75,par,0.009057,2094950650,2094950743,8,16.9102
75,par,0.008907,2094950316,2094950259,9,12.9922
75,par,0.011624,2094950241,2094950776,10,24.8984
75,built,0.000007,2094950781,2094951040,0,1.72656
75,seq,0.000002,2094950836,2094951037,0,1.78516
75,par,0.000364,2094950036,2094950937,1,1.94141
75,par,0.000533,2094950393,2094951017,2,2.80859
75,par,0.001941,2094950813,2094950849,3,4.80469
75,par,0.003240,2094950804,2094950429,4,6.78516
75,par,0.004651,2094950794,2094949977,5,4.9375
75,par,0.005364,2094950657,2094950336,6,14.75
